統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10304,桃園縣桃園市,三元里,1563,4260,2089,2171,15,14,14,16,22,17,14,25,20,13,24,16,17,23,24,28,18,26,31,27,28,26,33,32,27,39,45,49,51,44,31,26,34,38,42,27,35,38,37,29,39,28,28,29,39,28,25,27,34,20,27,24,20,26,25,20,31,29,27,36,35,23,42,40,32,38,42,32,36,34,27,33,32,29,40,37,27,38,24,43,34,31,35,23,28,39,39,48,41,52,29,38,29,41,35,39,29,31,37,51,37,43,28,43,31,32,26,44,28,30,28,28,37,29,30,31,21,23,27,25,15,25,26,29,15,23,26,16,12,15,11,17,14,6,14,16,7,10,11,11,6,12,5,9,8,11,4,8,10,7,6,10,1,7,5,4,6,5,2,4,9,7,4,2,6,3,4,3,4,5,3,4,10,4,2,0,6,2,4,4,2,1,2,1,2,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,
10304,桃園縣桃園市,三民里,1805,4981,2407,2574,14,12,21,15,18,12,21,12,21,27,33,29,51,35,29,29,18,25,28,27,29,25,37,40,47,47,48,50,42,36,38,36,47,35,33,39,37,37,41,32,44,40,41,30,30,41,42,33,34,35,40,43,34,32,38,38,45,28,30,29,35,33,38,33,38,35,32,30,33,33,30,29,20,32,29,33,26,37,19,36,27,27,28,40,23,38,27,38,31,40,29,56,34,39,33,47,42,49,35,43,36,40,43,41,45,64,46,53,35,50,32,51,37,47,51,50,44,35,29,27,32,40,33,32,39,26,30,29,18,28,21,24,18,19,18,16,6,8,10,12,12,16,11,22,14,14,7,19,9,14,6,5,5,4,4,7,9,11,5,5,5,8,8,6,5,9,5,2,3,6,4,6,9,6,3,7,1,5,6,3,4,2,4,1,3,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,1,
10304,桃園縣桃園市,中信里,2368,6337,3121,3216,27,26,41,43,37,35,33,31,23,33,39,28,33,27,34,29,38,33,32,26,40,27,30,31,29,23,46,37,42,42,43,39,49,42,54,41,56,50,46,33,50,41,35,42,47,47,44,41,47,42,52,41,43,34,37,32,51,47,42,65,61,52,53,50,62,62,68,73,78,65,54,69,55,71,58,63,46,66,61,48,50,47,52,58,54,56,45,52,42,49,51,43,53,50,49,49,55,64,41,60,39,59,50,71,44,54,49,48,33,64,49,55,48,55,52,50,36,60,39,48,35,44,33,40,43,28,22,38,22,27,24,21,15,19,17,12,11,18,18,10,9,19,10,15,14,7,16,10,5,12,13,9,2,15,2,4,4,3,8,5,6,4,9,6,10,6,3,1,6,3,0,3,2,5,6,1,3,3,2,3,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,
10304,桃園縣桃園市,中原里,1921,5224,2487,2737,24,16,25,22,27,21,18,24,26,31,36,30,31,43,28,32,37,22,35,22,31,32,19,38,28,37,31,43,37,41,41,46,46,43,49,57,46,46,48,48,46,42,49,39,43,38,35,42,32,38,45,34,41,34,35,19,29,36,38,23,20,32,33,38,41,45,29,51,46,41,40,51,39,50,54,40,35,58,40,56,47,57,41,57,45,56,53,61,57,71,65,55,56,54,42,60,48,59,53,65,50,50,35,45,48,47,43,36,32,35,38,35,17,34,23,35,29,38,23,26,17,25,21,27,19,23,17,19,13,17,23,16,10,11,11,12,10,10,4,9,4,6,9,6,7,11,2,7,3,7,4,6,5,9,3,5,2,4,2,0,3,4,3,3,3,2,6,5,3,2,1,3,1,3,0,1,0,2,1,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
10304,桃園縣桃園市,中和里,607,1603,806,797,6,2,4,6,4,4,4,2,5,6,5,3,7,4,7,6,7,3,6,7,8,9,13,7,7,8,15,11,7,6,6,9,10,10,8,8,10,18,9,5,11,8,15,13,11,9,8,14,16,8,14,13,11,12,8,6,16,9,19,10,10,11,13,16,12,10,14,8,4,10,7,11,9,13,8,10,10,5,12,9,13,11,14,7,7,11,5,13,8,11,11,12,10,7,14,10,17,13,14,12,16,16,18,12,15,15,15,11,13,11,15,15,11,12,10,12,16,11,15,12,12,16,14,12,16,5,7,11,8,8,11,14,6,8,5,6,2,3,6,9,2,2,10,7,3,11,6,17,3,6,9,10,8,8,3,9,7,8,5,4,2,8,5,8,3,11,4,3,5,4,2,2,3,4,1,2,0,3,3,1,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
10304,桃園縣桃園市,中埔里,777,2587,1351,1236,10,12,8,9,11,13,13,12,14,5,6,8,11,6,21,7,15,15,20,8,13,11,19,13,17,8,26,16,13,17,10,14,17,10,18,16,19,21,14,20,20,22,20,20,22,18,26,17,21,13,22,22,15,19,21,17,19,19,18,28,26,20,19,27,24,24,32,23,23,21,24,21,20,23,22,17,20,18,25,23,27,20,22,20,13,22,17,12,22,18,19,21,24,15,24,17,23,15,29,22,20,14,16,18,15,16,18,26,18,13,18,22,18,14,26,12,15,16,15,19,17,13,20,16,16,13,16,13,12,14,11,11,11,10,9,9,7,9,9,10,6,10,8,4,7,5,9,9,2,6,10,12,6,7,4,10,8,4,4,4,2,6,1,5,3,7,6,4,3,2,2,5,0,3,0,4,5,1,1,2,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
10304,桃園縣桃園市,中寧里,2762,6699,3195,3504,27,29,39,44,36,36,32,42,37,25,38,36,53,41,40,26,51,34,48,48,44,51,46,48,66,54,66,57,52,61,52,46,54,35,66,50,44,55,51,43,47,39,44,34,45,28,39,51,42,44,30,49,40,34,33,32,34,40,47,50,58,66,50,72,56,64,62,72,56,69,55,75,55,69,83,70,56,90,51,81,47,80,56,58,55,70,54,83,56,51,53,64,75,86,48,64,60,48,57,65,63,52,53,58,52,57,43,57,37,42,39,51,36,47,41,55,38,39,31,31,26,41,30,34,26,38,18,22,30,26,18,19,10,12,14,15,9,8,8,15,5,21,12,11,6,9,8,11,2,12,7,10,4,7,1,6,6,5,1,7,6,7,6,4,2,3,4,4,6,1,2,2,2,3,1,0,0,1,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10304,桃園縣桃園市,中山里,2700,7480,3648,3832,24,23,30,31,34,32,24,18,25,32,39,36,50,57,58,44,54,37,47,38,46,54,32,43,46,59,65,60,77,50,63,58,77,65,80,67,65,68,68,59,79,56,78,60,70,62,55,60,55,56,52,52,44,53,42,50,50,41,54,38,62,50,71,50,54,53,54,52,34,63,51,58,49,72,69,60,54,70,44,57,42,68,61,64,71,78,70,88,68,80,67,57,59,80,71,66,60,77,68,87,64,81,63,73,56,58,57,60,67,64,52,62,58,71,28,47,37,44,40,45,43,44,42,39,30,37,27,30,21,32,24,26,18,15,14,27,7,13,11,19,15,14,9,18,12,16,9,14,3,12,7,11,7,7,6,13,2,8,4,4,3,8,6,3,4,5,8,5,8,2,7,2,6,3,1,4,2,3,3,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
10304,桃園縣桃園市,中平里,1969,5052,2474,2578,10,16,22,21,19,16,18,17,11,17,23,18,19,24,15,24,31,25,24,21,33,21,19,26,34,25,37,23,31,35,39,38,40,33,54,42,37,40,51,33,42,56,42,40,39,33,42,37,35,29,37,33,39,37,35,31,38,37,45,36,44,43,41,41,43,35,36,54,41,34,35,30,36,44,44,30,35,48,32,28,38,34,41,42,29,43,37,47,33,54,46,59,39,54,36,46,47,50,42,51,40,56,44,38,39,46,39,53,45,41,42,53,51,39,39,49,32,45,37,38,38,36,24,34,27,27,20,30,28,28,16,19,11,17,20,19,11,16,8,13,5,12,10,19,12,9,7,7,7,5,11,6,6,8,7,9,4,7,3,7,8,4,6,1,7,7,7,7,7,3,2,1,2,4,5,5,5,4,3,1,1,1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
10304,桃園縣桃園市,中德里,2571,7620,3848,3772,32,32,36,28,43,39,37,25,37,29,36,36,38,35,50,36,44,29,53,47,52,48,51,48,68,53,69,65,74,50,69,40,52,62,68,65,52,49,65,66,58,56,55,45,64,57,44,50,62,56,63,54,58,38,48,53,59,49,60,54,72,73,65,81,72,59,68,75,75,69,84,68,72,77,64,71,66,73,57,64,65,43,74,49,48,78,68,64,57,65,54,71,63,63,69,65,49,52,54,65,53,63,58,71,57,71,33,54,67,58,56,53,58,50,55,52,47,50,40,52,36,47,48,34,35,38,33,43,26,26,20,21,19,24,20,18,12,9,18,20,18,12,8,19,13,16,11,21,6,16,8,17,14,11,5,8,4,11,7,9,7,8,8,9,8,4,11,2,12,6,10,7,3,4,4,5,4,5,1,2,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
